,movieId,timestamp,zeroEtoile,uneEtoile,deuxEtoile,toisEtoile,quatreEtoile,cingEtoile
99,79091,2010,4.0,3.0,27.0,57.0,227.0,29.0
100,79132,2010,5.0,4.0,84.0,147.0,1700.0,891.0
101,79134,2010,4.0,7.0,66.0,34.0,53.0,2.0
102,79139,2010,5.0,1.0,29.0,37.0,85.0,9.0
103,79185,2010,3.0,2.0,41.0,64.0,134.0,11.0
104,79224,2010,5.0,4.0,44.0,39.0,115.0,4.0
105,79242,2010,1.0,3.0,13.0,25.0,143.0,10.0
106,79251,2010,2.0,,3.0,5.0,6.0,1.0
107,79274,2010,3.0,3.0,13.0,15.0,91.0,10.0
108,79293,2010,4.0,4.0,77.0,93.0,236.0,11.0
109,79344,2010,,1.0,,,,
110,79428,2010,3.0,4.0,35.0,32.0,49.0,1.0
111,79430,2010,,,1.0,1.0,3.0,1.0
112,79463,2010,1.0,1.0,9.0,7.0,9.0,
113,79515,2010,,,2.0,1.0,2.0,
114,79553,2010,,1.0,8.0,11.0,37.0,5.0
115,79570,2010,,,,,5.0,
116,79572,2010,1.0,1.0,1.0,5.0,10.0,
117,79588,2010,1.0,,7.0,2.0,3.0,
118,79592,2010,4.0,3.0,39.0,52.0,132.0,6.0
119,79599,2010,1.0,2.0,8.0,6.0,6.0,1.0
120,79677,2010,,,,2.0,3.0,
121,79695,2010,15.0,12.0,131.0,86.0,221.0,17.0
122,79702,2010,6.0,6.0,50.0,76.0,518.0,128.0
123,79720,2010,,,6.0,9.0,51.0,3.0
124,79769,2010,,,,3.0,2.0,
125,79796,2010,1.0,2.0,29.0,35.0,52.0,2.0
126,79824,2010,2.0,,8.0,12.0,37.0,2.0
127,79842,2010,,,,,2.0,
128,79850,2010,,,,,4.0,
129,79860,2010,1.0,1.0,6.0,12.0,28.0,1.0
130,79870,2010,,,1.0,,4.0,
131,79879,2010,4.0,6.0,24.0,16.0,21.0,
132,79895,2010,,1.0,2.0,2.0,1.0,
133,79987,2010,,,2.0,4.0,6.0,2.0
134,80026,2010,2.0,4.0,19.0,5.0,4.0,
135,80094,2010,1.0,2.0,7.0,15.0,12.0,1.0
136,80126,2010,2.0,1.0,22.0,40.0,67.0,2.0
137,80137,2010,,,,2.0,1.0,
138,80166,2010,,1.0,9.0,8.0,26.0,2.0
139,80185,2010,,,3.0,4.0,16.0,6.0
140,80193,2010,,,,,1.0,
141,80204,2010,,,,1.0,1.0,
142,80219,2010,4.0,7.0,30.0,41.0,198.0,23.0
143,80222,2010,4.0,,10.0,6.0,10.0,2.0
144,80241,2010,2.0,1.0,7.0,11.0,18.0,3.0
145,80324,2010,,1.0,1.0,,,
146,80350,2010,14.0,8.0,16.0,5.0,6.0,
147,80363,2010,5.0,4.0,50.0,37.0,53.0,10.0
148,80398,2010,,,4.0,2.0,9.0,
149,80454,2010,,,2.0,,4.0,
150,80463,2010,3.0,2.0,29.0,56.0,546.0,85.0
151,80469,2010,2.0,1.0,4.0,6.0,23.0,
152,80489,2010,,1.0,22.0,51.0,268.0,19.0
153,80498,2010,,,1.0,,1.0,
154,80549,2010,,2.0,29.0,35.0,165.0,17.0
155,80551,2010,7.0,1.0,37.0,16.0,24.0,4.0
156,80553,2010,,,1.0,1.0,2.0,
157,80572,2010,2.0,2.0,4.0,3.0,7.0,2.0
158,80586,2010,1.0,,4.0,3.0,8.0,1.0
159,80588,2010,,,,,2.0,
160,80590,2010,,4.0,36.0,35.0,62.0,1.0
161,80615,2010,2.0,,8.0,11.0,39.0,5.0
162,80617,2010,8.0,2.0,6.0,3.0,4.0,
163,80655,2010,,,1.0,,1.0,
164,80693,2010,,1.0,2.0,3.0,12.0,1.0
165,80715,2010,,,,1.0,2.0,
166,80775,2010,,,1.0,2.0,5.0,
167,80779,2010,,,1.0,,,
168,80820,2010,1.0,,1.0,3.0,2.0,1.0
169,80831,2010,1.0,,8.0,7.0,34.0,2.0
170,80834,2010,,,,1.0,1.0,1.0
171,80839,2010,2.0,,4.0,4.0,18.0,3.0
172,80846,2010,1.0,1.0,22.0,23.0,26.0,1.0
173,80858,2010,1.0,,2.0,3.0,,
174,80860,2010,,2.0,4.0,2.0,7.0,
175,80862,2010,2.0,,5.0,10.0,38.0,3.0
176,80864,2010,,1.0,6.0,7.0,16.0,
177,80880,2010,,1.0,11.0,3.0,7.0,
178,80906,2010,2.0,,2.0,1.0,17.0,1.0
179,80917,2010,,1.0,10.0,4.0,31.0,3.0
180,80928,2010,,,,1.0,5.0,1.0
181,80939,2010,,,2.0,,2.0,
182,80969,2010,,,3.0,5.0,20.0,3.0
183,81018,2010,,1.0,9.0,2.0,22.0,5.0
184,81080,2010,1.0,,1.0,1.0,,
185,81083,2010,,,2.0,2.0,2.0,
186,81111,2010,,,,,,1.0
187,81132,2010,,,1.0,2.0,2.0,
188,81140,2010,,,2.0,,,
189,81156,2010,4.0,2.0,6.0,14.0,34.0,4.0
190,81158,2010,,1.0,3.0,7.0,28.0,6.0
191,81180,2010,1.0,2.0,19.0,3.0,5.0,
192,81191,2010,,,2.0,,5.0,1.0
193,81229,2010,1.0,2.0,21.0,38.0,151.0,9.0
194,81270,2010,,,1.0,,,1.0
195,81330,2010,,,,,,1.0
196,81383,2010,,,2.0,3.0,8.0,
197,81385,2010,,,1.0,,4.0,
198,81398,2010,,,1.0,,,
199,81417,2010,2.0,6.0,7.0,4.0,21.0,3.0
200,81424,2010,,,,,1.0,
201,81427,2010,1.0,,1.0,,,
202,81429,2010,1.0,,,,,
203,81451,2010,,2.0,2.0,,,
204,81456,2010,,,1.0,1.0,6.0,2.0
205,81512,2010,,1.0,9.0,5.0,15.0,
206,81516,2010,,1.0,1.0,,6.0,
207,81535,2010,5.0,2.0,6.0,11.0,10.0,
208,81537,2010,1.0,1.0,11.0,21.0,41.0,2.0
209,81562,2010,,,5.0,6.0,35.0,3.0
210,81564,2010,,,8.0,10.0,61.0,9.0
211,81591,2010,,1.0,7.0,9.0,88.0,25.0
212,81639,2010,,,1.0,4.0,1.0,
213,81641,2010,,,3.0,5.0,26.0,
214,81711,2010,1.0,,3.0,1.0,3.0,
215,81713,2010,,,,,1.0,
216,81725,2010,,,1.0,2.0,4.0,
217,81727,2010,,,,2.0,,
218,81731,2010,,1.0,3.0,3.0,3.0,
219,81744,2010,1.0,1.0,,,,
220,81751,2010,,,,,8.0,
221,81782,2010,,,10.0,9.0,48.0,3.0
222,81784,2010,1.0,,1.0,5.0,10.0,
223,81786,2010,,,,2.0,3.0,1.0
224,81788,2010,,,2.0,2.0,13.0,
225,81791,2010,,,5.0,,11.0,
226,81804,2010,,,3.0,2.0,11.0,1.0
227,81817,2010,1.0,,1.0,1.0,7.0,1.0
228,81819,2010,,,3.0,,1.0,
229,81834,2010,2.0,3.0,32.0,45.0,255.0,54.0
230,81845,2010,,,4.0,3.0,27.0,9.0
231,81847,2010,1.0,2.0,2.0,12.0,55.0,6.0
232,81932,2010,,,4.0,5.0,27.0,3.0
233,81993,2010,,,2.0,,,
234,82005,2010,,,1.0,4.0,1.0,
235,82009,2010,,,3.0,,,
236,82011,2010,,,1.0,,1.0,
237,82022,2010,,,,3.0,,
238,82037,2010,,,2.0,,4.0,
239,82053,2010,,,3.0,3.0,5.0,
240,82093,2010,,,1.0,,1.0,
241,82095,2010,2.0,4.0,18.0,5.0,4.0,1.0
242,82167,2010,1.0,,5.0,2.0,16.0,
243,82169,2010,,1.0,12.0,12.0,22.0,1.0
244,82173,2010,,,2.0,1.0,1.0,
245,82175,2010,,,,2.0,1.0,
246,82202,2010,,,7.0,6.0,8.0,
247,82209,2010,,,2.0,,,
248,82242,2010,,,1.0,7.0,40.0,7.0
249,82244,2010,,,,,2.0,
250,82324,2010,,,2.0,,,
251,82360,2010,,,,3.0,1.0,
252,82366,2010,,,,,1.0,
253,82378,2010,,1.0,2.0,,3.0,
254,82380,2010,,,1.0,1.0,,
255,82459,2010,,,2.0,6.0,52.0,11.0
256,82461,2010,1.0,2.0,23.0,10.0,63.0,3.0
257,82463,2010,,,2.0,1.0,3.0,
258,82499,2010,,1.0,1.0,2.0,3.0,
259,82534,2010,,,2.0,,,
260,82667,2010,,,1.0,,3.0,
261,82703,2010,,,,,1.0,
262,82744,2010,,,,1.0,2.0,
263,82765,2010,,,2.0,,1.0,
264,82767,2010,,,3.0,1.0,11.0,
265,82852,2010,2.0,,1.0,3.0,1.0,
266,82854,2010,,,2.0,2.0,,
267,73268,2011,2.0,1.0,28.0,28.0,74.0,5.0
268,73319,2011,3.0,2.0,14.0,11.0,18.0,3.0
269,73321,2011,2.0,6.0,47.0,72.0,213.0,32.0
270,73744,2011,,,2.0,1.0,,1.0
271,73929,2011,2.0,6.0,31.0,11.0,19.0,3.0
272,74115,2011,1.0,,3.0,5.0,,
273,74131,2011,,3.0,4.0,8.0,8.0,
274,74154,2011,2.0,5.0,18.0,16.0,14.0,4.0
275,74156,2011,2.0,,9.0,10.0,30.0,1.0
276,74324,2011,,1.0,2.0,8.0,94.0,26.0
277,74450,2011,,10.0,32.0,23.0,36.0,2.0
278,74452,2011,2.0,4.0,29.0,24.0,17.0,1.0
279,74458,2011,2.0,6.0,69.0,80.0,793.0,143.0
280,74530,2011,7.0,,25.0,23.0,43.0,2.0
281,74532,2011,3.0,2.0,22.0,18.0,23.0,1.0
282,74545,2011,1.0,4.0,22.0,48.0,182.0,14.0
283,74580,2011,1.0,2.0,4.0,3.0,13.0,
284,74595,2011,,,,,1.0,1.0
285,74685,2011,1.0,,22.0,26.0,61.0,5.0
286,74688,2011,3.0,3.0,8.0,10.0,31.0,7.0
287,74698,2011,6.0,3.0,11.0,6.0,1.0,1.0
288,74787,2011,1.0,,,3.0,16.0,3.0
289,74789,2011,14.0,16.0,131.0,142.0,293.0,41.0
290,74795,2011,1.0,2.0,20.0,41.0,98.0,6.0
291,74851,2011,,6.0,22.0,14.0,32.0,4.0
292,74916,2011,1.0,1.0,18.0,13.0,35.0,1.0
293,74944,2011,1.0,,6.0,10.0,13.0,1.0
294,74946,2011,2.0,,17.0,18.0,52.0,4.0
295,75341,2011,1.0,1.0,14.0,10.0,49.0,9.0
296,75395,2011,,2.0,18.0,10.0,17.0,
297,75438,2011,,,4.0,1.0,5.0,
298,75803,2011,,,3.0,1.0,2.0,
299,75805,2011,,4.0,32.0,22.0,26.0,4.0
300,75985,2011,,1.0,25.0,19.0,33.0,5.0
301,76077,2011,5.0,5.0,58.0,51.0,129.0,5.0
302,76093,2011,5.0,10.0,33.0,66.0,677.0,171.0
303,76175,2011,10.0,10.0,61.0,41.0,56.0,5.0
304,76217,2011,,1.0,,,1.0,
305,76251,2011,15.0,9.0,83.0,106.0,614.0,113.0
306,76293,2011,,5.0,42.0,44.0,112.0,7.0
307,76738,2011,2.0,1.0,5.0,9.0,57.0,6.0
308,76753,2011,,,2.0,,2.0,1.0
309,76755,2011,,,4.0,6.0,7.0,
310,76763,2011,1.0,4.0,6.0,8.0,27.0,6.0
311,77191,2011,1.0,2.0,16.0,8.0,16.0,2.0
312,77206,2011,,,11.0,10.0,22.0,2.0
313,77300,2011,1.0,,,,,
314,77364,2011,,2.0,27.0,10.0,37.0,9.0
315,77414,2011,7.0,,6.0,6.0,9.0,6.0
316,77421,2011,2.0,2.0,24.0,22.0,55.0,2.0
317,77455,2011,2.0,1.0,12.0,44.0,374.0,70.0
318,77561,2011,2.0,7.0,93.0,142.0,447.0,48.0
319,77629,2011,,,4.0,12.0,30.0,3.0
320,77665,2011,2.0,1.0,1.0,3.0,,
321,77667,2011,2.0,4.0,20.0,14.0,15.0,2.0
322,77672,2011,,1.0,2.0,1.0,3.0,
323,77798,2011,,4.0,15.0,11.0,12.0,3.0
324,77800,2011,3.0,1.0,20.0,28.0,149.0,14.0
325,77818,2011,,,,2.0,2.0,
326,77820,2011,3.0,2.0,5.0,1.0,1.0,
327,77833,2011,3.0,1.0,2.0,9.0,54.0,4.0
328,77837,2011,,1.0,4.0,12.0,66.0,8.0
329,77866,2011,5.0,3.0,35.0,63.0,118.0,12.0
330,78022,2011,1.0,1.0,2.0,,6.0,1.0
331,78034,2011,,,5.0,7.0,29.0,1.0
332,78039,2011,5.0,4.0,41.0,46.0,261.0,51.0
333,78041,2011,4.0,2.0,18.0,18.0,19.0,3.0
334,78086,2011,,1.0,,,,
335,78088,2011,9.0,4.0,35.0,45.0,160.0,8.0
336,78105,2011,5.0,3.0,47.0,46.0,121.0,17.0
337,78116,2011,,2.0,9.0,9.0,20.0,3.0
338,78128,2011,,,2.0,2.0,4.0,
339,78174,2011,18.0,14.0,34.0,6.0,18.0,3.0
340,78209,2011,3.0,3.0,45.0,44.0,124.0,16.0
341,78218,2011,,2.0,9.0,15.0,61.0,8.0
342,78247,2011,1.0,,3.0,2.0,5.0,
343,78251,2011,,,1.0,,7.0,
344,78264,2011,4.0,1.0,18.0,14.0,10.0,
345,78290,2011,,,,,1.0,
346,78316,2011,2.0,2.0,12.0,25.0,35.0,10.0
347,78321,2011,8.0,7.0,4.0,,2.0,2.0
348,78410,2011,,,,1.0,,
349,78467,2011,5.0,4.0,30.0,11.0,8.0,
350,78469,2011,9.0,6.0,86.0,78.0,239.0,27.0
351,78499,2011,7.0,7.0,85.0,129.0,925.0,274.0
352,78517,2011,8.0,1.0,7.0,17.0,43.0,2.0
353,78574,2011,2.0,2.0,35.0,42.0,214.0,29.0
354,78633,2011,,,2.0,2.0,12.0,
355,78637,2011,4.0,4.0,34.0,44.0,107.0,13.0
356,78679,2011,1.0,,9.0,12.0,25.0,
357,78759,2011,1.0,,5.0,10.0,25.0,1.0
358,78772,2011,34.0,16.0,66.0,29.0,77.0,19.0
359,78893,2011,19.0,11.0,43.0,28.0,29.0,2.0
360,78974,2011,,,,1.0,,
361,78976,2011,1.0,,,,6.0,
362,79057,2011,2.0,4.0,58.0,50.0,84.0,3.0
363,79091,2011,2.0,2.0,63.0,84.0,435.0,62.0
364,79132,2011,17.0,20.0,141.0,192.0,2022.0,888.0
365,79134,2011,7.0,3.0,47.0,27.0,58.0,9.0
366,79139,2011,5.0,2.0,42.0,46.0,102.0,7.0
367,79185,2011,2.0,10.0,53.0,63.0,147.0,14.0
368,79224,2011,,2.0,19.0,40.0,64.0,8.0
369,79242,2011,2.0,5.0,37.0,47.0,265.0,19.0
370,79251,2011,9.0,1.0,12.0,8.0,21.0,4.0
371,79274,2011,3.0,2.0,9.0,12.0,67.0,10.0
372,79293,2011,6.0,6.0,98.0,120.0,265.0,22.0
373,79344,2011,,,1.0,1.0,,
374,79428,2011,5.0,8.0,79.0,57.0,111.0,9.0
375,79430,2011,,,1.0,1.0,3.0,
376,79463,2011,1.0,1.0,9.0,7.0,10.0,3.0
377,79515,2011,,,,,1.0,
378,79553,2011,1.0,,7.0,14.0,72.0,19.0
379,79570,2011,,,,1.0,1.0,
380,79572,2011,,,5.0,5.0,8.0,
381,79588,2011,1.0,2.0,6.0,7.0,17.0,7.0
382,79592,2011,3.0,7.0,53.0,65.0,175.0,17.0
383,79599,2011,1.0,2.0,5.0,2.0,5.0,
384,79677,2011,2.0,,,2.0,11.0,2.0
385,79695,2011,7.0,19.0,86.0,71.0,143.0,8.0
386,79702,2011,15.0,4.0,93.0,95.0,590.0,158.0
387,79720,2011,1.0,1.0,28.0,25.0,176.0,16.0
388,79796,2011,1.0,2.0,19.0,17.0,34.0,1.0
389,79824,2011,1.0,,4.0,8.0,19.0,2.0
390,79842,2011,,,,,,1.0
391,79850,2011,,,,1.0,1.0,
392,79860,2011,,,3.0,12.0,17.0,3.0
393,79870,2011,,,2.0,,1.0,
394,79879,2011,6.0,9.0,34.0,22.0,19.0,1.0
395,79895,2011,,,,5.0,5.0,1.0
396,79987,2011,1.0,,4.0,6.0,9.0,3.0
397,80026,2011,2.0,2.0,9.0,3.0,8.0,2.0
398,80094,2011,5.0,2.0,15.0,19.0,20.0,1.0
399,80126,2011,5.0,6.0,66.0,45.0,124.0,6.0
400,80137,2011,,,,,2.0,
401,80166,2011,1.0,1.0,30.0,29.0,71.0,2.0
402,80185,2011,1.0,,8.0,12.0,83.0,11.0
403,80204,2011,,,,2.0,6.0,
404,80219,2011,5.0,7.0,66.0,64.0,249.0,39.0
405,80222,2011,1.0,2.0,10.0,8.0,17.0,5.0
406,80241,2011,1.0,,29.0,15.0,45.0,3.0
407,80324,2011,,1.0,1.0,1.0,,
408,80350,2011,9.0,12.0,30.0,8.0,6.0,2.0
409,80363,2011,2.0,8.0,54.0,34.0,74.0,8.0
410,80398,2011,,1.0,7.0,8.0,25.0,2.0
411,80454,2011,,,2.0,5.0,1.0,
412,80463,2011,11.0,10.0,94.0,158.0,1342.0,195.0
413,80469,2011,,,3.0,5.0,10.0,1.0
414,80489,2011,3.0,1.0,50.0,96.0,531.0,45.0
415,80498,2011,,,,,1.0,
416,80549,2011,4.0,8.0,56.0,81.0,395.0,50.0
417,80551,2011,3.0,14.0,56.0,33.0,49.0,4.0
418,80553,2011,2.0,1.0,5.0,11.0,28.0,5.0
419,80572,2011,5.0,3.0,14.0,8.0,6.0,
420,80586,2011,1.0,,3.0,13.0,33.0,7.0
421,80588,2011,,,2.0,,4.0,
422,80590,2011,,4.0,52.0,45.0,80.0,2.0
423,80615,2011,3.0,1.0,30.0,31.0,53.0,7.0
424,80617,2011,5.0,3.0,9.0,4.0,4.0,
425,80693,2011,,1.0,19.0,43.0,151.0,10.0
426,80775,2011,,,14.0,14.0,22.0,
427,80779,2011,,,1.0,2.0,3.0,
428,80820,2011,,,4.0,6.0,8.0,
429,80831,2011,2.0,1.0,23.0,45.0,170.0,12.0
430,80834,2011,,,,2.0,,
431,80839,2011,1.0,,13.0,18.0,98.0,12.0
432,80846,2011,6.0,5.0,44.0,34.0,60.0,2.0
433,80858,2011,1.0,2.0,29.0,15.0,21.0,3.0
434,80860,2011,2.0,3.0,20.0,24.0,87.0,12.0
435,80862,2011,2.0,3.0,13.0,27.0,92.0,7.0
436,80864,2011,,4.0,25.0,32.0,42.0,4.0
437,80880,2011,1.0,1.0,38.0,20.0,20.0,
438,80906,2011,3.0,,14.0,32.0,326.0,60.0
439,80917,2011,1.0,2.0,34.0,50.0,99.0,4.0
440,80928,2011,2.0,1.0,9.0,6.0,34.0,4.0
441,80939,2011,,2.0,12.0,25.0,58.0,
442,80941,2011,,,1.0,,,
443,80969,2011,2.0,5.0,29.0,59.0,211.0,30.0
444,81018,2011,4.0,,24.0,32.0,113.0,14.0
445,81080,2011,1.0,,4.0,1.0,,
446,81083,2011,1.0,1.0,8.0,7.0,10.0,1.0
447,81111,2011,,,,,1.0,
448,81132,2011,3.0,1.0,17.0,10.0,22.0,2.0
449,81138,2011,,,1.0,1.0,1.0,
450,81140,2011,1.0,2.0,5.0,5.0,7.0,
451,81156,2011,14.0,1.0,22.0,37.0,96.0,20.0
452,81158,2011,,2.0,5.0,22.0,85.0,7.0
453,81162,2011,,1.0,2.0,,,
454,81180,2011,3.0,6.0,12.0,8.0,9.0,1.0
455,81191,2011,3.0,,10.0,15.0,82.0,12.0
456,81229,2011,2.0,4.0,60.0,102.0,409.0,48.0
457,81257,2011,1.0,1.0,6.0,13.0,82.0,9.0
458,81270,2011,1.0,2.0,9.0,5.0,3.0,
459,81330,2011,,,1.0,1.0,,
460,81383,2011,1.0,,3.0,7.0,24.0,3.0
461,81385,2011,,2.0,13.0,15.0,21.0,4.0
462,81417,2011,7.0,4.0,51.0,24.0,51.0,11.0
463,81424,2011,,,,,4.0,
464,81427,2011,2.0,,,,1.0,
465,81451,2011,,,,,2.0,
466,81456,2011,,1.0,8.0,8.0,16.0,2.0
467,81512,2011,1.0,1.0,51.0,49.0,97.0,4.0
468,81516,2011,2.0,1.0,25.0,23.0,28.0,1.0
469,81520,2011,,,1.0,1.0,2.0,
470,81535,2011,14.0,5.0,32.0,18.0,22.0,5.0
471,81537,2011,6.0,7.0,95.0,71.0,180.0,13.0
472,81562,2011,8.0,6.0,64.0,121.0,830.0,90.0
473,81564,2011,3.0,1.0,42.0,85.0,374.0,48.0
474,81591,2011,17.0,24.0,135.0,173.0,1492.0,405.0
475,81637,2011,,,3.0,,,
476,81639,2011,,1.0,5.0,10.0,15.0,4.0
477,81641,2011,1.0,2.0,14.0,33.0,88.0,8.0
478,81711,2011,,1.0,1.0,2.0,2.0,
479,81725,2011,,1.0,2.0,3.0,10.0,
480,81727,2011,,,,1.0,,
481,81731,2011,,,2.0,3.0,23.0,2.0
482,81744,2011,,,1.0,,,
483,81751,2011,,2.0,11.0,6.0,14.0,2.0
484,81782,2011,1.0,2.0,52.0,72.0,195.0,12.0
485,81784,2011,,1.0,25.0,40.0,83.0,2.0
486,81786,2011,,,5.0,10.0,23.0,2.0
487,81788,2011,2.0,2.0,21.0,55.0,305.0,16.0
488,81791,2011,2.0,6.0,36.0,28.0,88.0,4.0
489,81804,2011,1.0,1.0,6.0,12.0,42.0,4.0
490,81817,2011,1.0,,7.0,11.0,70.0,3.0
491,81819,2011,2.0,1.0,29.0,22.0,123.0,18.0
492,81834,2011,10.0,7.0,82.0,141.0,773.0,171.0
493,81845,2011,1.0,7.0,61.0,141.0,1595.0,325.0
494,81847,2011,4.0,1.0,44.0,78.0,497.0,97.0
495,81906,2011,,,,,,1.0
496,81932,2011,2.0,6.0,48.0,82.0,800.0,74.0
497,81949,2011,3.0,,14.0,6.0,5.0,
498,81993,2011,,,1.0,2.0,,
499,82005,2011,2.0,,1.0,4.0,5.0,1.0
500,82009,2011,,,3.0,,1.0,
501,82022,2011,,,4.0,2.0,4.0,
502,82037,2011,4.0,2.0,7.0,9.0,64.0,7.0
503,82053,2011,1.0,,19.0,19.0,41.0,1.0
504,82088,2011,,,,,6.0,
505,82093,2011,1.0,1.0,7.0,9.0,28.0,2.0
506,82095,2011,10.0,23.0,63.0,18.0,23.0,
507,82102,2011,,,,,7.0,1.0
508,82167,2011,1.0,8.0,48.0,64.0,167.0,12.0
509,82169,2011,4.0,4.0,46.0,55.0,119.0,12.0
510,82173,2011,,,2.0,,1.0,
